time,open,high,low,close,Up Marker,Down Marker,VWAP
2026-04-14T22:20:00-05:00,25999,26001.75,25999,26001.75,1,0,26014.14821138417
2026-04-14T22:21:00-05:00,26000.75,26003.75,26000.75,26001.5,1,0,26014.13096
2026-04-14T22:22:00-05:00,26002,26002.75,26000,26002.75,0,0,26014.118298383048
2026-04-14T22:23:00-05:00,26002,26002,25998.75,26000.5,0,1,26014.10604827372
2026-04-14T22:24:00-05:00,26000.5,26002.5,25999,26000.25,0,0,26014.095904727375
2026-04-14T22:25:00-05:00,26000,26001.75,25999.25,26001.25,0,0,26014.08724921246
2026-04-14T22:26:00-05:00,26001.5,26004.5,26001.25,26003.5,0,0,26014.075121083864
2026-04-14T22:27:00-05:00,26004,26004.5,26001.25,26003.75,0,0,26014.055881702447
2026-04-14T22:28:00-05:00,26004.25,26005,26001.75,26002.25,0,0,26014.044287088607
2026-04-14T22:29:00-05:00,26001.75,26002.75,26000.75,26002.5,0,0,26014.033484494128
2026-04-14T22:30:00-05:00,26002,26006,26002,26003.5,1,0,26014.016583400964
2026-04-14T22:31:00-05:00,26003.25,26007.25,26001.75,26006.25,0,0,26014.00024154386
