time,open,high,low,close
2026-04-17T00:29:00-05:00,26454.25,26456.75,26454,26456.5
2026-04-17T00:30:00-05:00,26456,26456.75,26451.5,26452.25
2026-04-17T00:31:00-05:00,26452.25,26452.75,26446.5,26447.25
2026-04-17T00:32:00-05:00,26448,26451.25,26445,26446.5
2026-04-17T00:33:00-05:00,26446.25,26448.25,26443.5,26445.75
2026-04-17T00:34:00-05:00,26446.25,26447,26445,26445.5
2026-04-17T00:35:00-05:00,26445,26449.5,26445,26448.25
2026-04-17T00:36:00-05:00,26448.75,26451.5,26448.5,26450.5
2026-04-17T00:37:00-05:00,26450.5,26463,26450.25,26461.25
2026-04-17T00:38:00-05:00,26462,26465,26459.5,26464
2026-04-17T00:39:00-05:00,26463.25,26464.25,26454.75,26457
2026-04-17T00:40:00-05:00,26456.5,26461.5,26452.75,26461.5
2026-04-17T00:41:00-05:00,26461.25,26464.5,26461.25,26462.25
2026-04-17T00:42:00-05:00,26462,26464.5,26461,26463.75
2026-04-17T00:43:00-05:00,26464,26467.75,26462.75,26462.75
2026-04-17T00:44:00-05:00,26462.25,26465.25,26460.5,26464.25
2026-04-17T00:45:00-05:00,26464.5,26467.5,26464,26465.25
2026-04-17T00:46:00-05:00,26466.5,26469.5,26464.5,26466.5
2026-04-17T00:47:00-05:00,26466.5,26467.75,26464.5,26465.75
2026-04-17T00:48:00-05:00,26466.5,26467.75,26465.75,26467.5
2026-04-17T00:49:00-05:00,26466.75,26468.75,26466.75,26468.5
2026-04-17T00:50:00-05:00,26468,26468.5,26466.25,26468
2026-04-17T00:51:00-05:00,26468.25,26468.25,26465.75,26466.75
2026-04-17T00:52:00-05:00,26467,26470.5,26466.5,26466.5
2026-04-17T00:53:00-05:00,26467.25,26467.5,26462,26466.5
2026-04-17T00:54:00-05:00,26466.75,26467.5,26464.5,26465
2026-04-17T00:55:00-05:00,26464.75,26468.25,26462.75,26466.5
2026-04-17T00:56:00-05:00,26466.25,26467,26463.5,26466
2026-04-17T00:57:00-05:00,26466.5,26466.75,26464.75,26466.75
2026-04-17T00:58:00-05:00,26466.75,26467.25,26465.5,26466.25
2026-04-17T00:59:00-05:00,26465.5,26468.5,26465,26465.25
2026-04-17T01:00:00-05:00,26466,26471,26464.75,26466.25
2026-04-17T01:01:00-05:00,26466.5,26471,26465,26471
2026-04-17T01:02:00-05:00,26471,26472,26465.25,26467.5
2026-04-17T01:03:00-05:00,26467.75,26468,26463.5,26463.75
2026-04-17T01:04:00-05:00,26463.75,26466.25,26460.75,26466
2026-04-17T01:05:00-05:00,26466.5,26468.75,26464.25,26466.75
2026-04-17T01:06:00-05:00,26467.75,26476.5,26467.25,26473.5
2026-04-17T01:07:00-05:00,26473,26479.75,26472.25,26474.75
2026-04-17T01:08:00-05:00,26474.5,26474.5,26470.5,26471.25
2026-04-17T01:09:00-05:00,26471.5,26471.5,26466,26466.75
2026-04-17T01:10:00-05:00,26467,26473,26466.5,26471
2026-04-17T01:11:00-05:00,26470.75,26471.25,26468.75,26470.25
2026-04-17T01:12:00-05:00,26470,26476.75,26469.75,26476.25
2026-04-17T01:13:00-05:00,26476.25,26477.75,26473.75,26476.5
2026-04-17T01:14:00-05:00,26475.75,26478.5,26473.5,26473.5
2026-04-17T01:15:00-05:00,26473.25,26477,26471.75,26476.5
2026-04-17T01:16:00-05:00,26476,26478,26475.25,26477.5
2026-04-17T01:17:00-05:00,26477.75,26478.25,26474.25,26475
2026-04-17T01:18:00-05:00,26474.5,26475.25,26469.75,26471.75
2026-04-17T01:19:00-05:00,26472,26473.25,26466.25,26468.75
2026-04-17T01:20:00-05:00,26468.25,26471,26468,26468
2026-04-17T01:21:00-05:00,26467.75,26467.75,26463,26465.5
2026-04-17T01:22:00-05:00,26464.5,26467.75,26463,26463.5
2026-04-17T01:23:00-05:00,26464,26467.25,26462.5,26465.25
2026-04-17T01:24:00-05:00,26464.75,26469.5,26464.25,26469
2026-04-17T01:25:00-05:00,26470,26470.5,26465.25,26466.5
2026-04-17T01:26:00-05:00,26465.5,26465.5,26458.5,26461
2026-04-17T01:27:00-05:00,26461,26463.5,26459.5,26462.5
2026-04-17T01:28:00-05:00,26463.25,26464.5,26459.25,26460.5
2026-04-17T01:29:00-05:00,26461,26461.25,26458.75,26458.75
2026-04-17T01:30:00-05:00,26458.75,26458.75,26451.75,26453.75
2026-04-17T01:31:00-05:00,26453.75,26454.75,26448.5,26453.5
2026-04-17T01:32:00-05:00,26453.25,26455.5,26451.25,26451.25
2026-04-17T01:33:00-05:00,26451.75,26454,26451.5,26452.5
2026-04-17T01:34:00-05:00,26452.5,26452.75,26449.25,26450.75
2026-04-17T01:35:00-05:00,26450.75,26452,26448,26450
2026-04-17T01:36:00-05:00,26450,26452,26446.75,26450.25
2026-04-17T01:37:00-05:00,26448.75,26453.75,26447.75,26452.75
2026-04-17T01:38:00-05:00,26452.25,26457.25,26451.75,26454
2026-04-17T01:39:00-05:00,26454,26458.75,26453.75,26456.5
2026-04-17T01:40:00-05:00,26456.25,26458.5,26452.5,26455.5
2026-04-17T01:41:00-05:00,26455.25,26456.75,26452.25,26452.5
2026-04-17T01:42:00-05:00,26453,26456,26450.25,26454.5
2026-04-17T01:43:00-05:00,26454.5,26456,26452.75,26455
2026-04-17T01:44:00-05:00,26455.5,26458,26455.25,26456.5
2026-04-17T01:45:00-05:00,26455.75,26457.5,26453.5,26455
2026-04-17T01:46:00-05:00,26455.5,26458.25,26454.75,26458
2026-04-17T01:47:00-05:00,26458.5,26462.5,26458.25,26461.5
2026-04-17T01:48:00-05:00,26460.5,26464.5,26459.25,26464
2026-04-17T01:49:00-05:00,26464,26464,26461,26462.25
2026-04-17T01:50:00-05:00,26461.75,26465.5,26460.5,26464.75
2026-04-17T01:51:00-05:00,26464.5,26464.5,26462,26463.25
2026-04-17T01:52:00-05:00,26463.25,26463.5,26460.5,26461.75
2026-04-17T01:53:00-05:00,26462.25,26462.75,26460.5,26462.5
2026-04-17T01:54:00-05:00,26462.75,26464,26462.25,26463.25
2026-04-17T01:55:00-05:00,26463,26463,26461,26461.5
2026-04-17T01:56:00-05:00,26461.5,26461.75,26460,26460.5
2026-04-17T01:57:00-05:00,26460,26461.75,26457.5,26459.5
2026-04-17T01:58:00-05:00,26459.25,26459.75,26457,26458
2026-04-17T01:59:00-05:00,26458.25,26459.5,26454.25,26456.75
2026-04-17T02:00:00-05:00,26456.75,26469,26456.75,26465.75
2026-04-17T02:01:00-05:00,26466.25,26476.5,26463.5,26472.75
2026-04-17T02:02:00-05:00,26472.25,26474.75,26469.25,26473.5
2026-04-17T02:03:00-05:00,26473.25,26475.75,26471,26474.25
2026-04-17T02:04:00-05:00,26473.75,26477.5,26473,26477.5
2026-04-17T02:05:00-05:00,26477.5,26477.5,26474,26475.75
2026-04-17T02:06:00-05:00,26476,26478.5,26474,26476
2026-04-17T02:07:00-05:00,26476.75,26486.5,26476.25,26481.5
2026-04-17T02:08:00-05:00,26480.5,26483,26476.75,26482.5
2026-04-17T02:09:00-05:00,26482,26483.5,26478.5,26479
2026-04-17T02:10:00-05:00,26479,26481.5,26476.5,26478.5
2026-04-17T02:11:00-05:00,26478.5,26483,26477.5,26482.75
2026-04-17T02:12:00-05:00,26482,26485,26478.75,26483.75
2026-04-17T02:13:00-05:00,26484.25,26488,26482.25,26484
2026-04-17T02:14:00-05:00,26483.25,26484.25,26477.5,26479.5
2026-04-17T02:15:00-05:00,26480,26481.75,26477.5,26480.5
2026-04-17T02:16:00-05:00,26480.75,26481.25,26474,26475
2026-04-17T02:17:00-05:00,26475,26476.25,26471.25,26472
2026-04-17T02:18:00-05:00,26471.75,26475,26469,26470.25
2026-04-17T02:19:00-05:00,26470.25,26478.5,26470.25,26477.25
2026-04-17T02:20:00-05:00,26477.5,26478,26471,26471.25
2026-04-17T02:21:00-05:00,26471,26471,26463.75,26465
2026-04-17T02:22:00-05:00,26465,26471.25,26464.25,26470.5
2026-04-17T02:23:00-05:00,26471.25,26473.25,26469.75,26471.5
2026-04-17T02:24:00-05:00,26472.25,26473.5,26469.25,26469.5
2026-04-17T02:25:00-05:00,26470.25,26472.25,26468,26471.5
2026-04-17T02:26:00-05:00,26473,26474.5,26471.75,26473.5
2026-04-17T02:27:00-05:00,26473,26473.25,26468.75,26469.5
2026-04-17T02:28:00-05:00,26469.25,26471,26466.75,26470.25
2026-04-17T02:29:00-05:00,26470,26470.75,26467.75,26470.25
2026-04-17T02:30:00-05:00,26471,26473.5,26468.5,26473.5
2026-04-17T02:31:00-05:00,26473.25,26474.25,26471.25,26472.5
2026-04-17T02:32:00-05:00,26472.75,26473.5,26471,26471.75
2026-04-17T02:33:00-05:00,26472,26472.5,26469.75,26471.25
2026-04-17T02:34:00-05:00,26471.5,26481.25,26470.5,26479.25
2026-04-17T02:35:00-05:00,26478.75,26480.5,26476,26479.5
2026-04-17T02:36:00-05:00,26479,26480.25,26478.25,26479.5
2026-04-17T02:37:00-05:00,26478.5,26480,26476.75,26477
2026-04-17T02:38:00-05:00,26477.75,26481,26472.75,26473.25
2026-04-17T02:39:00-05:00,26473.25,26475.25,26470.75,26472.75
2026-04-17T02:40:00-05:00,26472.25,26472.25,26470.25,26472.25
2026-04-17T02:41:00-05:00,26471.75,26473,26468.5,26472.75
